model,threshold,precision,recall,f1,accuracy,true_negative,false_positive,false_negative,true_positive,predicted_churn
Logistic Regression,0.207,0.9888157301343916,0.9920369197357706,0.9904237058451532,0.9810409586835986,7,124,88,10963,11087
Logistic Regression,0.208,0.9888147212700703,0.9919464301873133,0.990378100013552,0.980951529243427,7,124,89,10962,11086
Logistic Regression,0.209,0.9888116935847695,0.9916749615419419,0.99024125779344,0.9806832409229118,7,124,92,10959,11083
Logistic Regression,0.21,0.9888096742171284,0.9914939824450276,0.9901500090366889,0.9805043820425684,7,124,94,10957,11081
Logistic Regression,0.211,0.9888066437985196,0.9912225137996561,0.9900131049753716,0.9802360937220533,7,124,97,10954,11078
Logistic Regression,0.212,0.9888056332942132,0.991132024251199,0.9899674620390455,0.9801466642818816,7,124,98,10953,11077
Logistic Regression,0.213,0.9888056332942132,0.991132024251199,0.9899674620390455,0.9801466642818816,7,124,98,10953,11077
Logistic Regression,0.214,0.988803611738149,0.9909510451542847,0.9898761637892073,0.9799678054015382,7,124,100,10951,11075
Logistic Regression,0.215,0.9888026006862922,0.9908605556058275,0.9898305084745763,0.9798783759613665,7,124,101,10950,11074
Logistic Regression,0.216,0.9888005780346821,0.9906795765089133,0.9897391854630927,0.9796995170810231,7,124,103,10948,11072
Logistic Regression,0.217,0.9888005780346821,0.9906795765089133,0.9897391854630927,0.9796995170810231,7,124,103,10948,11072
Logistic Regression,0.218,0.9887975426867829,0.9904081078635417,0.9896021699819169,0.9794312287605079,7,124,106,10945,11069
Logistic Regression,0.219,0.9887975426867829,0.9904081078635417,0.9896021699819169,0.9794312287605079,7,124,106,10945,11069
Logistic Regression,0.22,0.988795518207283,0.9902271287666274,0.9895108056786328,0.9792523698801645,7,124,108,10943,11067
Logistic Regression,0.221,0.988795518207283,0.9902271287666274,0.9895108056786328,0.9792523698801645,7,124,108,10943,11067
Logistic Regression,0.222,0.988794505693114,0.9901366392181703,0.9894651173305602,0.9791629404399929,7,124,109,10942,11066
Logistic Regression,0.223,0.9887934929959331,0.9900461496697132,0.9894194248507867,0.9790735109998211,7,124,110,10941,11065
Logistic Regression,0.224,0.9887934929959331,0.9900461496697132,0.9894194248507867,0.9790735109998211,7,124,110,10941,11065
Logistic Regression,0.225,0.9887934929959331,0.9900461496697132,0.9894194248507867,0.9790735109998211,7,124,110,10941,11065
Logistic Regression,0.226,0.9887914670523367,0.9898651705727989,0.9893280274938953,0.9788946521194777,7,124,112,10939,11063
Logistic Regression,0.227,0.9887914670523367,0.9898651705727989,0.9893280274938953,0.9788946521194777,7,124,112,10939,11063
Logistic Regression,0.228,0.9887894403760962,0.9896841914758845,0.9892366136034733,0.9787157932391343,7,124,114,10937,11061
Logistic Regression,0.229,0.9887874129668144,0.9895032123789702,0.989145183175034,0.978536934358791,7,124,116,10935,11059
Logistic Regression,0.23,0.9887853848240933,0.9893222332820559,0.989053736204089,0.9783580754784476,7,124,118,10933,11057
Logistic Regression,0.231,0.9887843704775687,0.9892317437335988,0.989008006513774,0.9782686460382758,7,124,119,10932,11056
